ID,NAME,LAT,LONG,STATE,POPULATION,OCEAN
1771,Houghton,-88.5625,47.117222,MI,7708,False
182,Joliet,-88.0834,41.52519,IL,147861,False
1012,Leominster,-71.75979,42.52509,MA,41569,False
184,Boise,-116.20345,43.6135,ID,145987,False
55,Wichita,-97.33754,37.69224,KS,389965,False
1009,Cupertino,-122.03218,37.323,CA,60572,False
1002,Burlington,-73.21207,44.47588,VT,42452,False
201,Beaumont,-94.10185,30.08605,TX,118129,False
1013,Moscow,-117.00017,46.73239,ID,25060,False
1017,Fairfax,-77.30637,38.84622,VA,24013,False
187,Syracuse,-76.14742,43.04812,NY,145170,False
102,Paradise,-115.14666,36.09719,NV,223167,False
1014,Mankato,-94.00915,44.15906,MN,41044,False
172,Springfield,-72.58981,42.10148,MA,154341,False
39,Fresno,-119.77237,36.74773,CA,520052,False
1011,New Braunfels,-98.12445,29.703,TX,70543,False
379,Pennsville,-75.51659,39.65345,NJ,11888,False
178,Pomona,-117.75228,34.05529,CA,153266,False
215,Folsom,-121.17606,38.67796,CA,72203,False
43,Kansas City,-94.57857,39.09973,MO,475378,False
41,Sacramento,-121.4944,38.58157,CA,466488,False
760,Lake Placid,-81.36285,27.2931,FL,2223,False
61,Anaheim,-117.9145,33.83529,CA,350742,False
1005,Williamstown,-73.20372,42.71202,MA,4325,False
211,Troy,-83.14993,42.60559,MI,80980,False
90,Chandler,-111.84125,33.30616,AZ,260828,False
177,Salinas,-121.6555,36.67774,CA,150441,False
339,La Grange,-87.86923,41.80503,IL,15550,False
129,Moreno Valley,-117.23059,33.93752,CA,193365,False
19,Columbus,-82.99879,39.96118,OH,850106,False
183,Paterson,-74.17181,40.91677,NJ,147754,False
1007,Glendora,-117.86534,34.13612,CA,52009,False
164,Lancaster,-118.13674,34.69804,CA,156633,False
1004,Union,-80.62118,34.71571,SC,0,False
1001,Allen,-96.67055,33.10317,TX,98143,False
44,Mesa,-111.82264,33.42227,AZ,471825,False
89,Orlando,-81.37924,28.53834,FL,270934,False
49,Raleigh,-78.63861,35.7721,NC,403892,False
100,Reno,-119.8138,39.52963,NV,241445,False
1003,South San Francisco,-122.40775,37.65466,CA,67271,True
125,Fontana,-117.43505,34.09223,CA,196069,False
105,North Las Vegas,-115.1175,36.19886,NV,216961,False
1006,Erie County,-78.77966,42.75824,NY,919040,False
1008,Duncanville,-96.90834,32.6518,TX,39826,False
48,Omaha,-95.93779,41.25861,NE,408958,False
91,Laredo,-99.50754,27.50641,TX,255473,False
104,Scottsdale,-111.89903,33.50921,AZ,236839,False
272,Atascadero,-120.67073,35.48942,CA,29819,False
1025,Bellingham,-122.48822,48.75955,WA,85146,False
1026,Alameda County,-121.91789,37.65055,CA,1510271,False
226,West Des Moines,-93.71133,41.57721,IA,64113,False
1021,Walnut Creek,-122.06496,37.90631,CA,68910,False
251,Goldsboro,-77.99277,35.38488,NC,35826,False
255,Columbia,-87.03528,35.61507,TN,34681,False
51,Cleveland,-81.69541,41.4995,OH,388072,False
233,Aloha,-122.86705,45.49428,OR,49425,False
52,Tulsa,-95.99277,36.15398,OK,391906,False
259,Elk Grove Village,-87.97035,42.00392,IL,33127,False
240,Attleboro,-71.28561,41.94454,MA,43593,False
234,Monroe,-92.1193,32.50931,LA,49598,False
256,Butte,-112.53474,46.00382,MT,34190,False
238,Ankeny,-93.60577,41.72971,IA,45582,False
1022,Mesquite,-96.59916,32.7668,TX,144788,False
253,Ocoee,-81.54396,28.56917,FL,35579,False
9,Phoenix,-112.07404,33.44838,AZ,1445632,False
11,San Antonio,-98.49363,29.42412,TX,1469845,False
1027,Burkittsville,-77.62888,39.39371,MD,155,False
270,Burbank,-87.7795,41.73392,IL,28925,False
241,Lincoln,-121.29301,38.89156,CA,42819,False
237,Wauwatosa,-88.00759,43.04946,WI,47614,False
236,Middletown,-72.65065,41.56232,CT,46756,False
267,Niles,-87.80284,42.01892,IL,29803,False
229,Santee,-116.97392,32.83838,CA,53413,False
1028,Lynchburg,-79.14225,37.41375,VA,79812,False
266,Brooklyn Center,-93.33273,45.07608,MN,30104,False
261,McMinnville,-123.19872,45.21012,OR,32187,False
258,Olive Branch,-89.82953,34.96176,MS,33484,False
219,Goodyear,-112.35821,33.43532,AZ,79003,False
247,Riverton,-111.9391,40.52189,UT,38753,False
235,Logan,-111.83439,41.73549,UT,48174,False
246,Bullhead City,-114.5683,35.14778,AZ,39540,False
228,Corvallis,-123.26204,44.56457,OR,55780,False
239,Palm Springs,-116.54529,33.8303,CA,47371,False
242,Southglenn,-104.95276,39.58721,CO,42268,False
1023,Pulaski,-76.1277,43.56701,NY,2310,False
1020,Gaithersburg,-77.20137,39.14344,MD,67456,False
230,Manhattan,-96.57167,39.18361,KS,52281,False
244,Oro Valley,-110.96649,32.39091,AZ,41011,False
257,North Providence,-71.46617,41.8501,RI,33835,False
260,Mount Lebanon,-80.0495,40.35535,PA,32730,False
1019,Erie County,-80.09811,42.11748,PA,280566,False
265,North Royalton,-81.72457,41.31366,OH,30444,False
293,Greenbelt,-76.87553,39.00455,MD,24272,False
24,Memphis,-90.04898,35.14953,TN,655770,False
1035,Los Angeles County,-118.26102,34.19801,CA,9818605,False
1031,Hurst,-97.17057,32.82346,TX,39016,False
1040,Willits,-123.35557,39.40961,CA,4861,False
276,DeLand,-81.30312,29.02832,FL,27031,False
1030,Fort Smith,-94.39855,35.38592,AR,88194,False
278,Barberton,-81.60512,41.01283,OH,26550,False
13,Dallas,-96.80667,32.78306,TX,1300092,False
369,Worthington,-95.5964,43.61996,MN,12764,False
300,Geneva,-88.30535,41.88753,IL,21495,False
319,Mandan,-100.88958,46.82666,ND,18331,False
298,South Elgin,-88.2923,41.99419,IL,21985,False
341,Suwanee,-84.0713,34.05149,GA,15355,False
304,Farragut,-84.15353,35.88452,TN,20676,False
282,Neenah,-88.46261,44.18582,WI,25501,False
323,Dickinson,-102.78962,46.87918,ND,17787,False
243,Altamonte Springs,-81.36562,28.66111,FL,41496,False
318,Vincennes,-87.52863,38.67727,IN,18423,False
302,Saint Andrews,-81.12926,34.04543,SC,21151,False
303,Cumberland,-78.76252,39.65287,MD,20859,False
322,Clarksdale,-90.57093,34.20011,MS,17962,False
1042,Chevy Chase,-77.07115,39.00287,MD,9545,False
1505,Wilton,-73.4379,41.19537,CT,18062,True
325,Saint Matthews,-85.65579,38.25285,KY,17472,False
1039,Brighton,-104.82053,39.98526,CO,37585,False
1037,Gilroy,-121.56828,37.00578,CA,53231,False
289,Vicksburg,-90.87788,32.35265,MS,23131,False
316,Chowchilla,-120.26018,37.123,CA,18720,False
281,Hazelwood,-90.37095,38.77144,MO,25703,False
301,North Augusta,-81.96512,33.5018,SC,21348,False
286,Lafayette,-105.08971,39.9936,CO,27729,False
299,Clarksville,-85.75996,38.29674,IN,21724,False
297,Derby,-97.26893,37.54557,KS,22158,False
324,Bay City,-95.9694,28.98276,TX,17598,False
288,Ridgeland,-90.13231,32.42848,MS,24047,False
292,Morton Grove,-87.78256,42.04059,IL,23270,False
754,Lebanon South,-76.40644,40.32804,PA,2270,False
280,Batavia,-88.31257,41.85003,IL,26045,False
283,Fort Dodge,-94.16802,42.49747,IA,25206,False
317,Glassboro,-75.11184,39.70289,NJ,18579,False
290,Ramsey,-93.45,45.2611,MN,23668,False
320,Simpsonville,-82.25428,34.73706,SC,18238,False
309,Greenfield,-72.59953,42.58759,MA,19753,False
1034,South Lake Tahoe,-119.98435,38.93324,CA,21706,False
312,Alsip,-87.73866,41.66892,IL,19277,False
1036,East Chicago,-87.45476,41.6392,IN,28699,False
1043,Big Stone Gap,-82.7471,36.88176,VA,5614,False
54,Minneapolis,-93.26384,44.97997,MN,410939,False
30,Denver,-104.9847,39.73915,CO,682545,False
1048,McAllen,-98.23001,26.20341,TX,140269,False
273,Nicholasville,-84.573,37.88063,KY,28015,False
434,Highland Park,-96.79195,32.83346,TX,8564,False
367,College,-147.80278,64.85694,AK,12964,False
1049,Ada County,-116.24109,43.45112,ID,392365,False
337,Madison,-74.4171,40.75982,NJ,15845,False
349,Jacksonville,-95.2705,31.96378,TX,14544,False
330,Horizon City,-106.20748,31.69261,TX,16735,False
25,New South Memphis,-90.05676,35.08676,TN,641608,False
328,Broad Ripple,-86.14165,39.86671,IN,17041,False
1044,Natchez,-91.40317,31.56044,MS,15128,False
366,Lockhart,-81.44257,28.61944,FL,13060,False
357,Fort Carson,-104.78886,38.73749,CO,13813,False
1050,New Kent County,-76.99713,37.50514,VA,18429,False
418,Valencia West,-111.11414,32.13238,AZ,9355,False
46,Atlanta,-84.38798,33.749,GA,463878,False
374,Lake Los Angeles,-117.82812,34.61249,CA,12328,False
